PERFORMANCE: {"timestamp":"2026-02-14 16:38:20","url":"\/as\/student\/SAPNA-KUMARI\/attendance","load_time":0.02683711051940918,"memory_usage":"808.75 KB","peak_memory":"2 MB","included_files":32,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:23","url":"\/as\/student\/SAPNA-KUMARI\/mycourse","load_time":0.027073144912719727,"memory_usage":"809.43 KB","peak_memory":"4 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:25","url":"\/as\/student\/SAPNA-KUMARI\/courses","load_time":0.020334959030151367,"memory_usage":"809.42 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:26","url":"\/as\/student\/SAPNA-KUMARI\/mycourse","load_time":0.021975994110107422,"memory_usage":"809.43 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:27","url":"\/as\/student\/SAPNA-KUMARI\/mycourse","load_time":0.018365144729614258,"memory_usage":"809.43 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:27","url":"\/as\/student\/SAPNA-KUMARI\/mycourse","load_time":0.0195159912109375,"memory_usage":"809.43 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:28","url":"\/as\/student\/SAPNA-KUMARI\/mycourse","load_time":0.0178680419921875,"memory_usage":"809.43 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:28","url":"\/as\/student\/SAPNA-KUMARI\/mycourse","load_time":0.020448923110961914,"memory_usage":"809.43 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:28","url":"\/as\/student\/SAPNA-KUMARI\/mycourse","load_time":0.01592111587524414,"memory_usage":"809.43 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:28","url":"\/as\/student\/SAPNA-KUMARI\/mycourse","load_time":0.015478849411010742,"memory_usage":"809.43 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:28","url":"\/as\/student\/SAPNA-KUMARI\/mycourse","load_time":0.020324230194091797,"memory_usage":"809.43 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:37","url":"\/as\/student\/SAPNA-KUMARI\/courses","load_time":0.01359105110168457,"memory_usage":"809.42 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:38","url":"\/as\/student\/SAPNA-KUMARI\/mycourse","load_time":0.014279842376708984,"memory_usage":"809.43 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:38:39","url":"\/as\/login","load_time":0.09008598327636719,"memory_usage":"823.01 KB","peak_memory":"4 MB","included_files":31,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:39:02","url":"\/as\/","load_time":1.0283839702606201,"memory_usage":"1.1 MB","peak_memory":"2 MB","included_files":38,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:39:05","url":"\/as\/student\/SAPNA-KUMARI","load_time":0.032263994216918945,"memory_usage":"1.14 MB","peak_memory":"4 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:40:44","url":"\/as\/student\/SAPNA-KUMARI","load_time":0.01884007453918457,"memory_usage":"1.14 MB","peak_memory":"4 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:40:47","url":"\/as\/student\/SAPNA-KUMARI\/settings","load_time":0.1960151195526123,"memory_usage":"995.05 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:40:49","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.023424863815307617,"memory_usage":"986.51 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:41:16","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.026070117950439453,"memory_usage":"986.51 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:42:01","url":"\/as\/student\/SAPNA-KUMARI\/settings?id=c3R1MDAwMDAwMDAxOA%3D%3D&_crsf_token=e01de83297dfbc2ef194d8679febe70ac1cf5b843a828f241e383bb15b89a263&current_password=SDFRDT&new_password=aS%402023&confirm_password=aS%402023","load_time":0.024033784866333008,"memory_usage":"995.07 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:42:05","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.0231781005859375,"memory_usage":"986.51 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:45:28","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.2036130428314209,"memory_usage":"980.65 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:45:44","url":"\/as\/student\/SAPNA-KUMARI\/settings?id=c3R1MDAwMDAwMDAxOA%3D%3D&_crsf_token=b27edead50ffd950f5823a0522d18d6ae61cc60d2d706d04499170731181d08e&current_password=SDESRFT&new_password=GFHGFDDFFHYT&confirm_password=HGRFTYTR","load_time":0.02824997901916504,"memory_usage":"993.13 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:45:46","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=document","load_time":0.01956915855407715,"memory_usage":"988.57 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:45:47","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.018645048141479492,"memory_usage":"980.57 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:48:55","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.2160320281982422,"memory_usage":"980.91 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:49:19","url":"\/as\/student\/account\/update","load_time":0.014495134353637695,"memory_usage":"804.3 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:50:15","url":"\/as\/student\/account\/update","load_time":0.08165597915649414,"memory_usage":"801.24 KB","peak_memory":"2 MB","included_files":33,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:53:35","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.2517108917236328,"memory_usage":"983.91 KB","peak_memory":"12 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:53:37","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.018264055252075195,"memory_usage":"983.83 KB","peak_memory":"4 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:53:52","url":"\/as\/student\/account\/update","load_time":0.03360700607299805,"memory_usage":"862.54 KB","peak_memory":"2 MB","included_files":34,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 16:58:34","url":"\/as\/student\/account\/update","load_time":0.0630040168762207,"memory_usage":"864.61 KB","peak_memory":"4 MB","included_files":34,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:13:08","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.18349814414978027,"memory_usage":"996.81 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:14:56","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.19689083099365234,"memory_usage":"1001.53 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:15:06","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.021600008010864258,"memory_usage":"997.71 KB","peak_memory":"8 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:15:09","url":"\/as\/student\/SAPNA-KUMARI","load_time":0.04562497138977051,"memory_usage":"1.16 MB","peak_memory":"4 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:15:11","url":"\/as\/student\/SAPNA-KUMARI","load_time":0.03097987174987793,"memory_usage":"1.16 MB","peak_memory":"4 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:16:26","url":"\/as\/student\/SAPNA-KUMARI","load_time":0.0828850269317627,"memory_usage":"1.16 MB","peak_memory":"4 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:16:29","url":"\/as\/student\/SAPNA-KUMARI\/settings","load_time":0.02078986167907715,"memory_usage":"1010.26 KB","peak_memory":"4 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:16:31","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.019111156463623047,"memory_usage":"997.72 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:16:50","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.0169069766998291,"memory_usage":"1001.63 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:16:59","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.02425408363342285,"memory_usage":"997.72 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:29:45","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.01710796356201172,"memory_usage":"1001.63 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:32:52","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=billing","load_time":0.028264999389648438,"memory_usage":"997.72 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:32:54","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=privacy","load_time":0.021357059478759766,"memory_usage":"997.72 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:32:56","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=notification","load_time":0.019015073776245117,"memory_usage":"997.72 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:32:57","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=document","load_time":0.021278858184814453,"memory_usage":"1005.72 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:32:59","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.022253990173339844,"memory_usage":"997.72 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:33:01","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=profile","load_time":0.023386001586914062,"memory_usage":"1010.32 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:33:03","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=document","load_time":0.023112058639526367,"memory_usage":"1005.72 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:35:05","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=document","load_time":0.29065704345703125,"memory_usage":"1005.89 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:35:07","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.020544052124023438,"memory_usage":"1001.81 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:35:07","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=profile","load_time":0.020180940628051758,"memory_usage":"1010.41 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:35:08","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=account","load_time":0.020833969116210938,"memory_usage":"1001.81 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
PERFORMANCE: {"timestamp":"2026-02-14 17:35:09","url":"\/as\/student\/SAPNA-KUMARI\/settings?q=document","load_time":0.02428412437438965,"memory_usage":"1005.81 KB","peak_memory":"2 MB","included_files":40,"ip":"::1"}
